"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2019","1,079.22","1,080.31","1,082.18","1,074.65","1.62B","-0.08%"
"Dec 10, 2019","1,080.11","1,089.12","1,093.78","1,076.18","2.07B","-0.71%"
"Dec 09, 2019","1,087.86","1,088.96","1,091.25","1,081.39","2.32B","-0.08%"
"Dec 06, 2019","1,088.69","1,090.09","1,093.15","1,083.52","2.16B","0.19%"
"Dec 05, 2019","1,086.59","1,082.60","1,090.32","1,081.51","2.24B","0.89%"
"Dec 04, 2019","1,077.01","1,072.54","1,077.95","1,067.02","1.93B","0.85%"
"Dec 03, 2019","1,067.90","1,078.73","1,087.77","1,067.90","2.56B","-1.12%"
"Dec 02, 2019","1,080.04","1,073.50","1,082.10","1,073.18","2.19B","1.03%"
"Nov 29, 2019","1,069.04","1,073.00","1,076.70","1,065.64","1.77B","-0.21%"
"Nov 28, 2019","1,071.26","1,060.85","1,072.13","1,060.16","1.44B","1.21%"
"Nov 27, 2019","1,058.44","1,059.36","1,064.31","1,053.95","1.75B","-0.13%"
"Nov 26, 2019","1,059.83","1,055.68","1,061.62","1,047.18","2.02B","0.57%"
"Nov 25, 2019","1,053.82","1,071.93","1,078.46","1,052.22","2.24B","-1.13%"
"Nov 22, 2019","1,065.88","1,071.09","1,074.95","1,060.20","1.56B","-0.20%"
"Nov 21, 2019","1,068.05","1,068.03","1,073.07","1,063.15","1.77B","0.02%"
"Nov 20, 2019","1,067.85","1,073.40","1,081.42","1,066.54","2.20B","-0.69%"
"Nov 19, 2019","1,075.29","1,071.97","1,077.70","1,066.34","1.93B","0.64%"
"Nov 18, 2019","1,068.46","1,059.02","1,072.22","1,059.02","2.03B","1.39%"
"Nov 15, 2019","1,053.80","1,044.75","1,055.18","1,044.09","1.51B","1.54%"
"Nov 14, 2019","1,037.81","1,043.07","1,051.65","1,033.09","1.78B","-1.00%"
"Nov 13, 2019","1,048.28","1,040.50","1,050.25","1,036.82","1.64B","0.82%"
"Nov 12, 2019","1,039.72","1,034.52","1,044.28","1,034.52","1.95B","0.83%"
