"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21","1,473.45","1,482.17","1,582.04","1,431.32","104.49B","-0.22%"
"Dec 20","1,476.72","1,302.25","1,484.37","1,287.62","107.35B","15.05%"
"Nov 20","1,283.58","1,119.72","1,351.65","1,117.68","121.23B","15.39%"
"Oct 20","1,112.37","1,150.07","1,222.95","1,095.72","88.22B","-2.87%"
"Sep 20","1,145.24","1,081.66","1,146.73","1,064.42","68.02B","6.18%"
"Aug 20","1,078.61","1,140.39","1,143.26","985.38","77.53B","-4.29%"
"Jul 20","1,126.90","1,171.68","1,205.86","1,120.96","91.63B","-3.29%"
"Jun 20","1,165.25","1,064.81","1,169.71","1,063.57","76.89B","10.43%"
"May 20","1,055.20","1,002.54","1,062.92","976.72","38.46B","4.36%"
"Apr 20","1,011.10","882.86","1,023.28","878.89","47.60B","12.79%"
"Mar 20","896.44","1,083.79","1,131.07","819.36","40.78B","-15.43%"
"Feb 20","1,059.94","1,194.36","1,238.45","993.32","48.90B","-11.03%"
"Jan 20","1,191.40","1,149.03","1,245.37","1,107.46","56.26B","4.12%"
"Dec 19","1,144.25","1,073.50","1,153.12","1,067.02","49.71B","7.04%"
"Nov 19","1,069.04","986.90","1,081.42","976.79","36.05B","8.57%"
"Oct 19","984.69","1,052.75","1,052.97","930.32","32.95B","-6.25%"
"Sep 19","1,050.33","967.38","1,058.34","967.38","33.11B","8.60%"
"Aug 19","967.18","1,013.42","1,021.83","943.49","19.51B","-5.25%"
"Jul 19","1,020.82","986.63","1,041.54","962.71","28.16B","5.80%"
"Jun 19","964.85","903.36","966.50","898.20","19.89B","6.51%"
"May 19","905.90","957.30","960.50","835.35","25.07B","-5.06%"
"Apr 19","954.16","939.08","992.14","918.65","23.57B","1.74%"
"Mar 19","937.84","1,046.90","1,059.29","905.24","31.89B","-10.28%"
"Feb 19","1,045.30","1,040.61","1,052.69","1,007.13","27.21B","0.44%"
"Jan 19","1,040.74","909.86","1,059.30","873.99","28.81B","14.03%"
"Dec 18","912.70","963.67","968.30","893.38","20.25B","-4.34%"
"Nov 18","954.16","902.54","962.82","899.50","27.60B","5.78%"
"Oct 18","902.01","1,000.75","1,006.47","885.64","29.90B","-9.76%"
"Sep 18","999.57","922.91","1,006.38","912.06","27.19B","7.80%"
"Aug 18","927.23","971.22","987.44","846.54","25.55B","-4.36%"
"Jul 18","969.52","960.94","1,008.08","881.69","28.49B","0.45%"
"Jun 18","965.20","1,007.07","1,007.93","922.89","20.10B","-4.11%"
"May 18","1,006.52","1,048.15","1,065.25","978.49","22.86B","-3.48%"
"Apr 18","1,042.83","1,152.17","1,154.65","1,037.50","22.03B","-9.26%"
"Mar 18","1,149.30","1,186.30","1,191.15","1,134.26","23.76B","-3.38%"
"Feb 18","1,189.51","1,200.16","1,208.94","1,125.04","19.56B","-0.48%"
"Jan 18","1,195.29","1,157.34","1,215.31","1,111.07","29.95B","3.64%"
"Dec 17","1,153.33","1,039.11","1,158.40","1,030.95","18.79B","10.91%"
"Nov 17","1,039.84","1,105.13","1,150.93","1,014.91","25.31B","-5.59%"
"Oct 17","1,101.43","1,029.34","1,101.43","992.10","19.87B","7.03%"
"Sep 17","1,029.08","1,103.49","1,104.40","1,009.87","18.54B","-6.46%"
"Aug 17","1,100.10","1,078.85","1,105.31","1,049.39","22.92B","2.31%"
"Jul 17","1,075.31","1,006.39","1,086.06","1,000.84","17.87B","7.06%"
"Jun 17","1,004.40","978.54","1,009.91","969.26","16.02B","2.97%"
"May 17","975.42","949.94","987.95","930.00","18.52B","3.05%"
"Apr 17","946.55","890.20","951.96","879.98","14.66B","6.42%"
"Mar 17","889.47","877.20","914.97","876.39","16.46B","1.68%"
"Feb 17","874.78","863.90","895.83","860.01","16.34B","1.37%"
"Jan 17","862.96","779.07","867.17","756.57","18.36B","10.44%"
"Dec 16","781.39","740.60","783.72","717.93","12.49B","5.60%"
"Nov 16","739.95","788.02","789.57","736.31","15.13B","-5.78%"
"Oct 16","785.36","769.24","802.91","764.85","15.00B","2.68%"
"Sep 16","764.88","762.00","800.87","757.31","11.27B","0.69%"
"Aug 16","759.68","762.28","793.67","741.42","13.58B","0.75%"
"Jul 16","754.06","771.78","828.25","704.26","12.80B","-1.84%"
"Jun 16","768.17","779.12","794.20","740.17","12.61B","-1.27%"
"May 16","778.03","852.42","852.69","762.08","14.40B","-8.82%"
"Apr 16","853.28","829.87","869.31","808.84","15.38B","2.47%"
"Mar 16","832.68","759.49","835.24","756.42","17.09B","9.83%"
"Feb 16","758.14","734.96","760.17","694.36","15.75B","3.18%"
