"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2020","1,476.72","1,431.67","1,484.37","1,431.67","14.01B","3.55%"
"Dec 20, 2020","1,426.03","1,401.65","1,438.49","1,368.58","22.53B","1.26%"
"Dec 13, 2020","1,408.32","1,378.19","1,410.32","1,378.19","23.84B","2.74%"
"Dec 06, 2020","1,370.70","1,329.96","1,371.00","1,326.13","26.74B","2.99%"
"Nov 29, 2020","1,330.87","1,314.43","1,338.95","1,283.58","25.34B","0.16%"
"Nov 22, 2020","1,328.73","1,329.29","1,351.65","1,299.27","28.27B","0.36%"
"Nov 15, 2020","1,323.95","1,304.70","1,328.33","1,259.69","29.48B","2.53%"
"Nov 08, 2020","1,291.29","1,214.42","1,303.81","1,211.16","34.00B","8.33%"
"Nov 01, 2020","1,191.96","1,119.72","1,192.24","1,117.68","24.36B","7.15%"
"Oct 25, 2020","1,112.37","1,183.61","1,183.61","1,095.72","19.86B","-6.57%"
"Oct 18, 2020","1,190.63","1,195.46","1,222.95","1,179.46","22.70B","-0.18%"
"Oct 11, 2020","1,192.73","1,169.16","1,193.83","1,169.12","22.38B","2.32%"
"Oct 04, 2020","1,165.70","1,150.79","1,170.48","1,143.33","16.33B","1.81%"
"Sep 27, 2020","1,145.03","1,124.68","1,155.38","1,112.39","18.41B","1.86%"
"Sep 20, 2020","1,124.17","1,111.82","1,135.07","1,084.93","17.27B","1.10%"
"Sep 13, 2020","1,111.96","1,105.31","1,118.70","1,096.65","14.01B","0.84%"
"Sep 06, 2020","1,102.70","1,089.54","1,105.98","1,085.23","14.93B","1.51%"
"Aug 30, 2020","1,086.32","1,101.78","1,102.38","1,064.42","13.27B","-1.29%"
"Aug 23, 2020","1,100.55","1,111.21","1,118.24","1,083.14","15.20B","-0.84%"
"Aug 16, 2020","1,109.88","1,085.52","1,141.32","1,077.29","19.29B","2.40%"
"Aug 09, 2020","1,083.83","1,055.58","1,125.92","1,039.00","20.13B","2.19%"
"Aug 02, 2020","1,060.59","1,140.39","1,143.26","985.38","19.98B","-5.88%"
"Jul 26, 2020","1,126.90","1,199.57","1,203.42","1,120.96","12.57B","-5.46%"
"Jul 19, 2020","1,192.02","1,188.44","1,205.86","1,171.60","20.12B","0.35%"
"Jul 12, 2020","1,187.86","1,162.62","1,194.51","1,161.26","16.32B","3.46%"
"Jul 05, 2020","1,148.09","1,166.74","1,202.03","1,128.29","28.42B","-0.81%"
"Jun 28, 2020","1,157.48","1,147.76","1,173.91","1,144.32","23.33B","0.94%"
"Jun 21, 2020","1,146.68","1,147.01","1,162.79","1,134.20","19.99B","0.93%"
"Jun 14, 2020","1,136.12","1,093.93","1,143.38","1,087.16","18.86B","3.44%"
"Jun 07, 2020","1,098.35","1,103.32","1,110.43","1,078.33","15.20B","-0.17%"
"May 31, 2020","1,100.22","1,064.81","1,106.02","1,063.57","13.70B","4.27%"
"May 24, 2020","1,055.20","1,037.98","1,062.92","1,037.98","8.09B","2.42%"
"May 17, 2020","1,030.24","1,008.97","1,033.07","1,008.97","8.12B","3.26%"
"May 10, 2020","997.68","984.20","1,008.65","977.40","11.23B","1.97%"
"May 03, 2020","978.45","1,002.54","1,002.54","976.72","11.01B","-3.23%"
"Apr 26, 2020","1,011.10","1,000.86","1,023.28","993.60","9.50B","2.38%"
"Apr 19, 2020","987.59","986.62","994.97","972.76","8.98B","0.59%"
"Apr 12, 2020","981.80","954.63","990.44","946.02","11.26B","1.77%"
"Apr 05, 2020","964.71","909.89","974.83","906.31","11.38B","7.73%"
"Mar 29, 2020","895.53","879.37","904.09","868.15","9.84B","1.62%"
"Mar 22, 2020","881.25","830.44","922.99","825.28","10.86B","2.71%"
"Mar 15, 2020","857.96","922.64","922.64","819.36","8.51B","-10.26%"
"Mar 08, 2020","956.05","1,065.40","1,068.57","916.44","9.26B","-12.77%"
"Mar 01, 2020","1,096.01","1,083.79","1,131.07","1,064.25","8.79B","3.40%"
"Feb 23, 2020","1,059.94","1,149.84","1,159.92","993.32","11.09B","-9.27%"
"Feb 16, 2020","1,168.29","1,209.82","1,212.42","1,144.53","12.45B","-2.76%"
"Feb 09, 2020","1,201.51","1,204.59","1,215.81","1,166.48","13.00B","-0.71%"
"Feb 02, 2020","1,210.15","1,194.37","1,238.45","1,187.62","12.36B","1.57%"
"Jan 26, 2020","1,191.40","1,207.12","1,216.74","1,182.56","11.71B","-2.46%"
"Jan 19, 2020","1,221.42","1,218.79","1,245.37","1,207.61","12.22B","0.55%"
"Jan 12, 2020","1,214.75","1,195.95","1,224.82","1,195.75","14.13B","2.37%"
"Jan 05, 2020","1,186.64","1,125.32","1,191.40","1,107.46","12.86B","4.38%"
"Dec 29, 2019","1,136.84","1,140.57","1,159.32","1,126.17","10.21B","0.00%"
"Dec 22, 2019","1,136.84","1,114.79","1,145.35","1,112.66","12.25B","2.25%"
"Dec 15, 2019","1,111.77","1,106.74","1,119.56","1,101.06","10.90B","0.63%"
"Dec 08, 2019","1,104.77","1,088.96","1,119.10","1,074.65","10.62B","1.48%"
"Dec 01, 2019","1,088.69","1,073.50","1,093.15","1,067.02","11.07B","1.84%"
"Nov 24, 2019","1,069.04","1,071.93","1,078.46","1,047.18","9.22B","0.30%"
"Nov 17, 2019","1,065.88","1,059.02","1,081.42","1,059.02","9.48B","1.15%"
"Nov 10, 2019","1,053.80","1,029.22","1,055.18","1,023.69","8.30B","2.16%"
"Nov 03, 2019","1,031.53","992.67","1,040.18","991.44","7.92B","4.76%"
"Oct 27, 2019","984.63","1,003.85","1,005.42","976.79","4.44B","-1.75%"
"Oct 20, 2019","1,002.16","985.26","1,012.39","971.72","7.13B","1.83%"
"Oct 13, 2019","984.15","979.80","987.31","930.32","6.59B","-0.62%"
"Oct 06, 2019","990.28","1,032.94","1,051.76","975.11","9.41B","-4.29%"
"Sep 29, 2019","1,034.64","1,057.00","1,058.34","1,020.62","8.25B","-1.61%"
"Sep 22, 2019","1,051.52","1,004.45","1,052.42","995.83","7.85B","4.90%"
"Sep 15, 2019","1,002.37","1,025.52","1,033.21","999.33","7.56B","-2.75%"
"Sep 08, 2019","1,030.72","998.37","1,032.58","998.37","7.64B","4.13%"
"Sep 01, 2019","989.87","967.38","1,008.77","967.38","8.34B","2.35%"
"Aug 25, 2019","967.18","956.49","974.48","952.91","4.65B","-0.44%"
"Aug 18, 2019","971.49","965.01","974.04","943.49","5.40B","1.48%"
"Aug 11, 2019","957.34","985.04","985.31","957.31","2.20B","-3.69%"
"Aug 04, 2019","994.05","994.07","1,001.78","977.23","5.25B","-0.27%"
"Jul 28, 2019","996.79","1,031.47","1,035.53","996.30","5.23B","-3.07%"
"Jul 21, 2019","1,028.37","1,018.12","1,041.54","1,008.47","6.26B","0.97%"
"Jul 14, 2019","1,018.49","978.60","1,028.82","976.34","5.02B","4.89%"
"Jul 07, 2019","970.98","981.06","998.71","962.71","6.56B","-2.55%"
"Jun 30, 2019","996.35","986.63","1,005.01","983.74","7.09B","3.26%"
"Jun 23, 2019","964.85","960.39","966.50","945.19","5.62B","2.62%"
"Jun 16, 2019","940.22","904.76","959.55","903.92","6.88B","3.56%"
"Jun 09, 2019","907.87","937.62","945.89","900.24","6.03B","-3.22%"
"Jun 02, 2019","938.09","903.36","938.09","898.20","1.36B","3.55%"
"May 26, 2019","905.90","865.06","905.90","853.10","5.40B","5.25%"
"May 19, 2019","860.72","868.95","871.54","835.35","5.55B","-0.83%"
"May 12, 2019","867.96","886.29","887.41","854.47","6.20B","-1.96%"
"May 05, 2019","885.33","930.26","930.76","883.16","5.81B","-5.76%"
"Apr 28, 2019","939.46","950.40","960.50","934.76","4.54B","-0.88%"
"Apr 21, 2019","947.83","963.90","965.37","938.92","4.03B","-2.15%"
"Apr 14, 2019","968.61","957.60","986.62","951.92","4.73B","0.92%"
"Apr 07, 2019","959.77","989.79","990.77","950.28","5.50B","-2.84%"
"Mar 31, 2019","987.83","939.08","992.14","918.64","6.89B","5.33%"
"Mar 24, 2019","937.84","1,000.27","1,003.82","905.24","8.42B","-6.06%"
"Mar 17, 2019","998.35","1,037.85","1,059.29","996.52","8.27B","-3.36%"
"Mar 10, 2019","1,033.04","1,018.87","1,033.80","1,006.52","6.22B","1.74%"
"Mar 03, 2019","1,015.38","1,035.64","1,048.67","1,008.74","7.61B","-1.67%"
"Feb 24, 2019","1,032.67","1,038.75","1,052.69","1,029.57","7.49B","0.08%"
"Feb 17, 2019","1,031.86","1,028.67","1,034.68","1,007.13","5.82B","0.46%"
"Feb 10, 2019","1,027.15","1,032.88","1,049.77","1,007.50","7.23B","0.26%"
"Feb 03, 2019","1,024.52","1,030.78","1,038.52","1,016.20","6.63B","-0.47%"
"Jan 27, 2019","1,029.37","1,018.23","1,059.30","1,010.77","7.76B","1.12%"
"Jan 20, 2019","1,018.01","986.27","1,023.20","976.35","7.64B","3.40%"
"Jan 13, 2019","984.55","908.25","986.62","903.88","7.18B","7.38%"
"Jan 06, 2019","916.87","894.45","920.28","892.81","5.01B","3.22%"
"Dec 30, 2018","888.31","906.75","913.38","873.99","3.27B","-1.77%"
"Dec 23, 2018","904.35","921.39","924.36","901.07","2.99B","-1.55%"
"Dec 16, 2018","918.61","905.96","925.83","895.67","5.31B","1.47%"
"Dec 09, 2018","905.29","932.46","934.54","893.38","5.15B","-3.38%"
"Dec 02, 2018","936.99","963.67","968.30","923.75","6.18B","-1.80%"
"Nov 25, 2018","954.16","935.22","955.45","930.43","6.79B","2.59%"
"Nov 18, 2018","930.03","935.68","946.03","915.46","5.73B","-0.65%"
"Nov 11, 2018","936.16","930.06","943.08","912.98","5.86B","0.84%"
"Nov 04, 2018","928.39","945.24","962.82","921.27","6.54B","-1.36%"
"Oct 28, 2018","941.23","908.84","945.71","885.64","5.26B","3.96%"
"Oct 21, 2018","905.42","972.16","974.06","905.42","5.45B","-6.13%"
"Oct 14, 2018","964.55","973.47","995.54","963.35","7.41B","-0.21%"
"Oct 07, 2018","966.57","941.32","971.69","933.89","7.62B","1.87%"
"Sep 30, 2018","948.83","1,000.75","1,006.47","931.69","6.83B","-5.08%"
"Sep 23, 2018","999.57","982.84","1,006.38","977.82","8.74B","2.01%"
"Sep 16, 2018","979.88","944.77","979.88","937.90","7.83B","3.41%"
"Sep 09, 2018","947.60","935.33","962.99","912.06","6.03B","1.59%"
"Sep 02, 2018","932.74","922.91","946.56","922.06","4.59B","0.59%"
"Aug 26, 2018","927.23","909.21","942.80","899.99","4.22B","2.81%"
"Aug 19, 2018","901.86","889.85","904.76","889.39","388.95M","1.64%"
"Aug 12, 2018","887.35","938.70","952.99","846.54","8.97B","-6.54%"
"Aug 05, 2018","949.40","952.90","987.44","885.98","8.49B","-0.70%"
"Jul 29, 2018","956.10","953.40","974.10","941.53","5.79B","0.03%"
"Jul 22, 2018","955.85","941.73","966.81","917.23","7.11B","1.60%"
"Jul 15, 2018","940.82","906.83","941.69","891.66","6.19B","4.65%"
"Jul 08, 2018","898.98","995.96","1,008.08","881.69","7.67B","-8.95%"
"Jul 01, 2018","987.34","960.94","998.06","956.55","5.21B","2.29%"
"Jun 24, 2018","965.20","992.56","993.94","933.65","6.05B","0.70%"
"Jun 17, 2018","958.52","942.36","961.87","922.89","4.12B","1.39%"
"Jun 10, 2018","945.41","959.22","971.87","927.51","3.44B","-1.39%"
"Jun 03, 2018","958.76","992.64","1,005.10","951.26","5.17B","-3.32%"
"May 27, 2018","991.71","1,044.81","1,065.25","979.91","5.62B","-3.90%"
"May 20, 2018","1,032.00","1,021.67","1,037.70","1,008.89","5.21B","0.77%"
"May 13, 2018","1,024.10","1,017.38","1,037.63","1,006.55","4.67B","0.55%"
"May 06, 2018","1,018.52","1,025.75","1,028.77","978.49","5.28B","-0.73%"
"Apr 29, 2018","1,025.99","1,079.40","1,081.71","1,015.49","4.31B","-4.66%"
"Apr 22, 2018","1,076.14","1,106.30","1,108.51","1,062.78","3.91B","-2.99%"
"Apr 15, 2018","1,109.32","1,098.61","1,124.07","1,074.39","6.12B","1.21%"
"Apr 08, 2018","1,096.04","1,154.26","1,154.65","1,066.24","6.04B","-4.47%"
"Apr 01, 2018","1,147.38","1,152.17","1,153.90","1,132.82","5.03B","-0.17%"
"Mar 25, 2018","1,149.30","1,171.26","1,177.88","1,134.26","6.77B","-1.43%"
"Mar 18, 2018","1,166.03","1,171.75","1,185.90","1,150.83","5.92B","-0.52%"
"Mar 11, 2018","1,172.16","1,177.04","1,189.78","1,168.29","5.00B","0.26%"
"Mar 04, 2018","1,169.15","1,170.33","1,177.20","1,159.30","4.14B","0.05%"
"Feb 25, 2018","1,168.59","1,182.95","1,192.45","1,162.65","4.79B","-0.56%"
"Feb 18, 2018","1,175.21","1,170.75","1,178.54","1,132.68","4.68B","0.87%"
"Feb 11, 2018","1,165.11","1,145.93","1,175.18","1,132.49","4.54B","2.57%"
"Feb 04, 2018","1,135.90","1,177.25","1,181.21","1,125.04","5.51B","-3.83%"
"Jan 28, 2018","1,181.19","1,213.41","1,215.32","1,177.93","5.71B","-2.14%"
"Jan 21, 2018","1,207.02","1,156.39","1,207.02","1,152.89","6.61B","4.82%"
"Jan 14, 2018","1,151.47","1,142.86","1,177.59","1,111.07","7.52B","0.44%"
"Jan 07, 2018","1,146.45","1,175.14","1,177.84","1,128.84","6.14B","-1.71%"
"Dec 31, 2017","1,166.38","1,157.35","1,183.95","1,151.52","5.94B","1.13%"
"Dec 24, 2017","1,153.33","1,117.05","1,158.40","1,113.91","3.87B","3.81%"
"Dec 17, 2017","1,110.99","1,098.12","1,121.57","1,096.28","5.05B","1.62%"
"Dec 10, 2017","1,093.30","1,087.89","1,100.51","1,078.52","4.70B","1.31%"
"Dec 03, 2017","1,079.21","1,033.51","1,081.82","1,033.51","4.43B","4.21%"
"Nov 26, 2017","1,035.59","1,047.87","1,061.81","1,014.91","4.76B","-0.94%"
"Nov 19, 2017","1,045.39","1,063.99","1,069.47","1,030.16","4.81B","-1.60%"
"Nov 12, 2017","1,062.39","1,096.38","1,107.05","1,056.24","5.29B","-2.49%"
"Nov 05, 2017","1,089.49","1,119.14","1,150.93","1,087.13","5.95B","-2.11%"
"Oct 29, 2017","1,112.93","1,087.82","1,145.40","1,082.94","7.32B","3.16%"
"Oct 22, 2017","1,078.84","1,081.67","1,088.47","1,069.32","4.23B","-0.56%"
